,2,3,4,5,6,7,8,9,T,A
PA,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP
PT,S,S,S,S,S,S,S,S,S,S
P9,SP,SP,SP,SP,SP,S,SP,SP,S,S
P8,SP,SP,SP,SP,SP,SP,SP,SP,SP,Usp
P7,SP,SP,SP,SP,SP,SP,H,H,H,H
P6,SP,SP,SP,SP,SP,H,H,H,H,H
P5,Dh,Dh,Dh,Dh,Dh,Dh,Dh,Dh,H,H
P4,H,H,H,SP,SP,H,H,H,H,H
P3,SP,SP,SP,SP,SP,SP,H,H,H,H
P2,SP,SP,SP,SP,SP,SP,H,H,H,H
S21,S,S,S,S,S,S,S,S,S,S
S20,S,S,S,S,S,S,S,S,S,S
S19,S,S,S,S,Ds,S,S,S,S,S
S18,Ds,Ds,Ds,Ds,Ds,S,S,H,H,H
S17,H,Dh,Dh,Dh,Dh,H,H,H,H,H
S16,H,H,Dh,Dh,Dh,H,H,H,H,H
S15,H,H,Dh,Dh,Dh,H,H,H,H,H
S14,H,H,H,Dh,Dh,H,H,H,H,H
S13,H,H,H,H,Dh,H,H,H,H,H
S12,H,H,H,H,Dh,H,H,H,H,H
H21,S,S,S,S,S,S,S,S,S,S
H20,S,S,S,S,S,S,S,S,S,S
H19,S,S,S,S,S,S,S,S,S,S
H18,S,S,S,S,S,S,S,S,S,S
H17,S,S,S,S,S,S,S,S,S,Us
H16,S,S,S,S,S,H,H,Uh,Uh,Uh
H15,S,S,S,S,S,H,H,H,Uh,Uh
H14,S,S,S,S,S,H,H,H,H,H
H13,S,S,S,S,S,H,H,H,H,H
H12,H,H,S,S,S,H,H,H,H,H
H11,Dh,Dh,Dh,Dh,Dh,Dh,Dh,Dh,Dh,Dh
H10,Dh,Dh,Dh,Dh,Dh,Dh,Dh,Dh,H,H
H9,H,Dh,Dh,Dh,Dh,H,H,H,H,H
H8,H,H,H,H,H,H,H,H,H,H
H7,H,H,H,H,H,H,H,H,H,H
H6,H,H,H,H,H,H,H,H,H,H
H5,H,H,H,H,H,H,H,H,H,H
H4,H,H,H,H,H,H,H,H,H,H
